text,sentiment
"I have had expensive blow dryers but after research on the web, I decided to try this one based on an article about the best blow dryers - at any price. I do like it and think it does a great job on my hair (and I am etremely picky); however the downside is a short cord. I have had to accomodate by drying my hair in the bath vs. my room. The expensive ones have a much longer cord; however, I will get used to it eventually.",positive
@FieldGulls @ScottEnyeart Dana White said the Bellagio had to freeze payouts for an hour  Sat because they lost all the money in their safe.,negative
"For everyone freaked out about the Iran &amp; NY dam story, @RobertMLee will be on the tube shortly to contextualize. https://t.co/M2aj2OhTMv",neutral
"What has this world has come to,1st Trump 4 president,now Kim Kardashian emojis.Do they have to take all the joy?#trump#Kardashians#bullshit",negative
@Swamy39. Will Rahul Gandhi be under oath on 19th ? What is his real name should be the first question. #NationalHeraldCase,negative
"The product itself seems fine, but it arrived scratched. Not going to go through the hassle of trying to exchange - shouldn't have to.",negative
"I got this C.D. after hearing ""Fly Away"" and ""American Woman"". When I listened to the rest I must add that I was kind of dissapointed... the only track, w/ exception of the two I named, that was good was # 5 ""If you can't say no"" . Don't get me wrong Lenny is a VERY talented guy...its just that he puts out these songs that rock and the rest are almost disco...i don't get it..",negative
"@murraycummings @hpsmama Dr. Murray, do you have any openings for tomorrow morning? #drmurray Need help...",neutral
"Cole dissed Future on his Black Friday, Kendrick dissed everyone on his. the collab album bout to be one big subliminal diss.",neutral
"This record is awful. Why these other reviewers compare it with ""the old days"" and then mention Last Rights and Too Dark Park is beyond my comprehension. Those albums are NOT THE OLD DAYS of Skinny Puppy ANYWAY! Bites, Remission, Mind the Perpetual Intercourse, those were great albums. I've listened to some of them hundreds of times I think. I'd say they must need the money, but I don't know that that's it and I don't want to insult them any further.....ANYWAY, this album sounds like a bunch of goofy rock songs to me. Just really bad rock songs. I hated it. What happened to these guys? DEPRESSING!!!",negative
"My boyfriend and I invited two friends over to our house after purchasing this game. We played one full game full of reminiscing and laughter. A few days later we sat down just the two of us to play again and to our horror we had already been through 90% of the DVD questions! We spent [$$$] on this game and basically got to enjoy it once! This game was, in our opinion, a waste of money.",negative
"Today is Star Wars day, may the force be with us..",positive
1. Purchased this book based on recommendations from various woodworking blogs. This book is very poorly written.2. The overview of tools is 'paper thin' (no pun intended). I would not recommend this book to any woodwork begining or otherwise. SAVE YOUR MONEY.,negative
"@Currtis25Harr @UNILAD  I saw the movie Sunday, Curtis. Max looks like a hybrid of Jesse Eisenberg, JP from Grandma's Boy and Marilyn Manson",neutral
"This film does not have a plot, the acting is weak and the script is clich├σ. This modern adaptation rips parts off several other box office hits. It unsuccessfully tries to be funnny, I thought it was a spoof film but then someone told me it wasnt, I cringed. I guess a 12 year old could get some laughs out of it but it stops there, this is hollywood at its lowest, a simple film for simple minds. If you think this is a 5 star film...then wake up.",negative
"Incredible!! Any pupils able 2 bring it 2 our Star Wars Day, Sat? Not sure even our master model maker could top it! https://t.co/NupFlgEGkU",positive
"Leave it to John Sayles to take on developers , the Chamber of Commerce , tourism , historical pageants , and commercialism all in the same movie ... without neglecting character development for even one minute .",positive
"No it's not, read the bit about Kim Kardashian https://t.co/Xredo7kWr0",neutral
"Kapur fails to give his audience a single character worth rooting for ( or worth rooting against , for that matter ) .",negative
A rehash of every gangster movie from the past decade .,negative
Listening to Kanye West on this tuesday morning was the best idea. And I dont even like Kanye.,positive
"@praman_k @Swamy39 I wonder why Mr. Rahul Gandhi made this mistake. I could understand he may write Italy or Russia ! But ""British"" shocks",negative
"I have all of the Bar Cynster books. I was excited when I saw this on the newsstand, but very disappointed in the book itself. I would compare this book to a pornographic movie that has no plot just mindless, boring sex. There was no romance here, just graphic repeated sex. Not even real love demonstrated. The plot was good but it was constantly upstaged by the sex that seems a little farfetched to believe that Portia's reputation was not ruined by her behavior. I lost all respect for both Portia and Simon.",negative
Saudi Arabia is like Narnia to me. I may HAVE to go to Mecca one day to fulfil my religious obligation but already dreading being there.,negative
The movie does n't generate a lot of energy .,negative
"Karaoke invitation for 9, but knowing these guys, it'll be 11.I work tomorrow, so the world is saved from hearing me ruin David Bowie songs.",positive
"I met up with a few ladies here for drinks a few weeks back at the suggestion of someone else. We didn't end up playing pool, just enjoyed our drinks at the bar before moving over to a table. We were definitely over dressed and probably out of place, but it was a chill place to let loose. Drinks were okay, food was nothing outstanding, prices were to be expected.",neutral
Despite what some think of her Kim Kardashian shows she still has tons of power on Monday https://t.co/AdMP8lIfc8,positive
Can read my GPS through the bifocals while seeing the road through the smoke lenses. Used these for three years. Be careful not to lose the nose pads they can fall off easily. Tack them in place with some super glue. Durable and inexpensive.,positive
"This album probably means a great zero for every diehard Scorpion fan.The tunes are commercial as they've never been and simply disappointing.I wouldn't even call this a ""rock"" album, but hardened commercial music.It's only slightly better than all this funky stuff you can find all around.",negative
@neha_aks in case Rahul Gandhi is trapped in a natural calamity will the sycophants shower petals on him / offer prayer to Gods /rescue 1st?,neutral
"But it could be , by its art and heart , a necessary one .",positive
"Fresh off its own ballistic missile test, Iran says the US violated the nuclear deal by... changing visa rules? https://t.co/6Z0BbKQgZg",neutral
@ARnews1936 @RebelMouse @CharlesDuxbury Maybe because Muslims say Denmark will be 1st European Muslim country. They want the world.,neutral
1st country in the world to adopt multiculturalism. Here is the country that did it some 2500 years ago ... Iran https://t.co/GIL69Q34xY,positive
Glad he got to see his family; Iran should be ashamed for unjustly imprisoning one of its citizens for this long. https://t.co/mVNKvfwo6x,neutral
MSM Blast- Remember Tuesday is Yoga @ the Martinsburg Library. .Summer is over so it's  time to start moving We... http://t.co/kCPDq8o9MH,neutral
"This new movie version of the Alexandre Dumas classic is the stuff of high romance , brought off with considerable wit .",positive
A fifty car pileup of cliches .,negative
we pumping inside twilight on Dec 19th UGLY SWEATER FETE'R with @SKFTHECHAMP @Badnewz_JUK @BassLinetheMC @DJSOCASWEETNESS Get Mad Now..,neutral
"As the 4th largest military in the world, Saudi Arabia needs to step up Big Time to dissolve ISIS #GOPDebate #LA06 https://t.co/ENMKsR2AqO",neutral
"Scenic beauty is abundant in this Blu-ray disk. Well worth the purchase price, and a must if you have, or intend to visit any of the parks featured in this facinating program.",positive
Do n't say you were n't warned .,negative
"And the UFC is fucked up, Why you may ask? Because they are all getting hoed and controled by Dana White",negative
"I'm sure Kerry will come out tomorrow and say that he was against the Charlie Hebdo massacre being legitimate, before he was for it",neutral
"They've gotten better and better for me in the time since this review was written. 

My last contact with them was a few days ago when I was having trouble redeeming some Groupons on their website. I called customer service and after waiting a few minutes I spoke with a rep who cheerfully booked four separate flights for me, patiently and manually entering my Groupon info for each one.

I think the acquisition by Republic has helped them overall. After Republic took over the in-flight cookies started. It still tends to suck if you aren't Ascent club (like just about any budget-centric airline does), but once you get there it's a good value. When I've had to fly Southwest or USAir I've been disappointed in comparison.",positive
Those of you who do n't believe in Santa Claus probably also think that sequels can never capture the magic of the original .,neutral
"Para hacer corta lo que deber├φa ser una larga rese├▒a, este es un libro introductorio a las ense├▒anzas toltecas, y un pobre intento en el tema, no acabo de entender como DonMiguel endorsa estos libros, esta supuesta mujer ""Nagual"" muestra a lo largo del libro que esta llenita de su ego, veneno en contra de los hombre y que alguna relaci├│n que tuvoEn el pasado, nunca la sano completamente.Si esta interesado en aprender el camino tolteca, vaya a las fuentes, Carlos Castaneda, Miguel Ruiz y Theun Mares, no pierda su tiempo y dinero con estos farsantes.PSEspec├φficamente, de la versi├│n en espa├▒ol, que traducci├│n tan horrible.",negative
"It has a caffeinated , sloppy brilliance , sparkling with ideas you wish had been developed with more care , but animated by an energy that puts the dutiful efforts of more disciplined grade-grubbers to shame .",positive
"I think this is the worst movie I've ever watched, if I can say I watched it since fast forwarded 90% of it. Bad plot, bad acting, bad direction, bad everything...",negative
"This is a well designed game that seems designed for young children. My six year old granddaughter enjoys it, BUT comments on the ""ugliness"". Why did they feel the need to inject the sinister mood at so many points? One character says ""you only see the real me at night."" What's that supposed to mean? There are many examples. It would be nice if they gave a simple start up option to configure the game for young children, thus blocking the inuendo.",negative
"I now declare today Star Wars Day, may the box office records be ever in your favor",positive
"If I hadn't read The Golden Fleece Found by Basil Hill first, I might have found Dan Brown's book more interesting. However, having been left hanging and wanting more from the Celestine Prophecies, I needed not just another book of vague riddles, but more meat. The two books are complete opposites. Dan Brown uses myths and allegorical riddles, Basil Hill gives codes from Solomon's Temple, Hebrew Codices and juicy stuff after which the esoteric community have been searching for centuries. When he digs into ancient libraries, he documents debates from which fragments were only available in archaic Latin. Persons have beseeched Rome before for translations, but to no avail.There is a stark difference between a new riddle with no end and an old riddle with a new and plausible explanation. I personally think that we have discovered a new Sagan and perhaps even a new Edgar Cayce. Judging from the reviews of both books, I am not the only one who thinks so.F ""Seinfeld"" Mt. Vernon.",neutral
"David Cameron, Tony Blair's useful idiot.   https://t.co/UDJfoJVIfz   [All began with a hanging chad in 2000AD.]   https://t.co/T4D0g3PTJc",negative
Dr. Roseen will be in H3 tomorrow at 12:30p presenting about Yoga for Back Disorders. Don't miss it! http://t.co/obcZm2lAWv,neutral
Happy birthday Stephanie Meyer!! May you have a Merry Christmas by Twilight!,positive
"This is our first experience with handheld games. The Nintendo DS Lite is fabulous; the Pokemon Trozei is not. My son is 6 1/2 years old. He quickly mastered the game (getting 4 pokemons in a row) and became quite bored. While I was looking for an ""easy"" game for beginners, this one was too easy...too much money for such a simple game.",negative
@TheZaneSimon If Rousey retired tomorrow do you see anyone who would hold the belt for awhile or do you think it would get passed around?,neutral
Interesting perspective on Saudi Arabia's involvement in the rise and defeat of #ISIS today in @guardiannews https://t.co/qOxZOvS8d4,neutral
Senate Dems: Buyer's remorse yet on Iran? https://t.co/xnMNuXHYcQ 'cause when Reagan signed 1st Treaty with USSR it ended the Cold War (not),neutral
"When your 2 1/2 yr old's 1st words this morning are ""It's Star Wars Day"" b/c we are seeing a sneak peek tonight #ProudGeekMom #HesDarthVadar",positive
am I the only person that just noticed Floyd Mayweather was fighting this Saturday?,neutral
"Of all the Halloween 's , this is the most visually unappealing .",negative
"The story , touching though it is , does not quite have enough emotional resonance or variety of incident to sustain a feature , and even at 85 minutes it feels a bit long .",neutral
"My wife took me here on my birthday for breakfast and it was excellent.  The weather was perfect which made sitting outside overlooking their grounds an absolute pleasure.  Our waitress was excellent and our food arrived quickly on the semi-busy Saturday morning.  It looked like the place fills up pretty quickly so the earlier you get here the better.

Do yourself a favor and get their Bloody Mary.  It was phenomenal and simply the best I've ever had.  I'm pretty sure they only use ingredients from their garden and blend them fresh when you order it.  It was amazing.

While EVERYTHING on the menu looks excellent, I had the white truffle scrambled eggs vegetable skillet and it was tasty and delicious.  It came with 2 pieces of their griddled bread with was amazing and it absolutely made the meal complete.  It was the best ""toast"" I've ever had.

Anyway, I can't wait to go back!",positive
"It may be a little difficult for new beginner to use. After a while, you will enjoy the fun. It is especially good for open the older bottles, like 1960s.",positive
"The thing that caught my attention was Solomon was struggling with the same demons that most of us have in one form or another, by whatever name society tends to call them. We seem to think they are hidden, but they are evident in the choices that we make. The author was upfront and honest in his depiction of the character, especially since he indicated it was based upon his own life. This was a bold move, because many readers are now going to watch and follow him for the sake of seeing steadfastness and growth. Go forward and be brave, Brotherwood.A Letter to My Sisters: The Way Out",positive
"The complex , politically charged tapestry of contemporary Chinese life this exciting new filmmaker has brought to the screen is like nothing we Westerners have seen before .",positive
This is that rare type of technical book which one might choose to read purely for pleasure. I searched local bookstores for a single volume which contained fundamental information of all automotive systems and could find nothing. This book has it all. It is writtten in language which any person of average intelligence can understand and is illustrated throughout. I would recommend it to anyone who feels his or her knowledge of automobiles is weak.,positive
voila un bout de temp qu'on n'avait pas vu des petit nouveau comme a l'ancienne genre new edition et maintenant b5 ou soul for real (que souvenir) bien sure se ne sont pa des textes profond mais les chansson sont pleine de bons sentiment et ensoleill├σ a (a ├σcout├σ avant d'aller a la plage dragu├σ) omarion a une voix merveilleuse et lil fizz a un bon flot genre j.dupree les autres font figuration le producteur sait se qu'il fait (immature) bref exellent omarion est peu etre un futur usher comme mh voir aussi o'ryan bonne ├σcoute yep yep !!!,positive
"My boys ages 5 & 6 love the game but cannot play it without supervision. The younger has difficulty losing. Otherwise they could play alone. Hopefully soon! I am learning, as well, thanks to the game. Some of the card instructions were not crystal clear to me but their father, who has a little chess background, helped to clarify for me. If the adult has played chess or researched a bit that helps, IMHO. Overall, a fantastic game with multiple levels of challenge.",positive
"Schnieder bounces around with limp wrists , wearing tight tummy tops and hip huggers , twirling his hair on his finger and assuming that 's enough to sustain laughs ...",negative
"I bought two of these, less then two months ago installed. Both have failed due to bad bearings. They never worked long enough to find out if they ran off the moles! Do not buy, they are a POS.",negative
"I have no idea whether there is a Japanese community in this part of town, but New Tokyo would suit one well.  It's rather small, but they have a wide selection of Japanese, snacks, beverages (including my new fave beer, Asahi Black), refrigerated items, staples, etc.  

This is not an Asian market, it's specifically Japanese, so don't expect more than a few crossover items like kimchi.  That being said, sometimes it's good to specialize.  It lets them carry more variety of Japanese products.

The cashier was very friendly when I finally stopped loading my basket long enough to check out.  Like the first reviewer, I loaded up with snacks for the hotel room...along with a six-pack of Asahi Black, of course.  Oh, one more important factor...the prices were quite reasonable, in line with most ethnic market imports...maybe even a bit cheaper than usual.",positive
Lady Gaga - Do you think the 3rd part of the Paparazzi-Telephone saga will be in LG5??: #LadyGaga #think #Papa... https://t.co/oUT7lCgvAK,neutral
"Cameron's comments may be overly rough on Labour MP's, but McDonnell called for Labour councillors to have kneecaps shot off by the IRA.",neutral
"This was a fun game to play on Windows 98. I have played Sim Coaster, so I was pleased overall with STP. When I recently tried to use this with my Windows XP, I found that there is no apparent way to intall and play this game. XP's compatability program is not able to make the game run properly and I found through my own attempts and those of other STP owners that Electronic Arts, which markets this game, is apparently not at all interested in providing aftermarket support to XP users. EA directs you to check other sites for further updates, but does not offer any patches of their own to make XP use possible. I would suggest that XP users that are looking for a sim game look to other vendors programs. Come to think of it, I would suggest that anyone who now uses XP or might in the future consider avoiding Electronic Arts products until they support them.",neutral
NASA outraging the superstitious theories propagated by Christians.:  https://t.co/b6tMXnYB39,neutral
Came here with a large group a while back.  We were there to eat and have a beer before a concert there. It was a weekday so we made it to happy hour. Happy Hour pricing was fair. The food was pretty good. The very best thing there is the beer!  They had like everything on tap! MMMM!,positive
If LCD Soundsystem &amp; David Bowie are both at #Coachella you might as well bury me at the polo grounds when the sun comes up Monday morning,neutral
"This book gives a glimpse of the correspondence between Robert E. Lee and his wife and daughters. As a Virginian, it was even more personal to read about the areas of the state where his family travelled to escape the ravages of the war and to know that these are still beautiful sites, worth visiting even today. It was a poignant look at this great general's love for his family.",positive
"S-E-X-X-Y, not my favorite TMBG song by any means, is presented here in two forms: a 'radio edit' (the album version, basically), and the awesome Warren Rigg Microwave Mix, which starts off a bit boring but takes off after a minute or so. I actually like it better than the original version, although it's not as good as the World's Address remix.This CD also contains We've Got a World That Swings, a slow, melancholy song that I like very much. I guess S-E-X-X-Y #2 is a better deal, because you get two extra songs, including ""Sensurround"", one of my personal favorite TMBG songs. Oh well.Oh and P.S., the cover art on this thing is really, really ugly.",positive
Some may find it tragic that I'm sat alone watching Amy Schumer and eating Ben and Jerries but personally I feel no shame,positive
"What we have here is n't a disaster , exactly , but a very handsomely produced let-down .",negative
"Witty , contemplative , and sublimely beautiful .",positive
"Saudi Arabia women voted in municipal elections Saturday morning, marking the first time they have been allowed to cast ballots in the",positive
"Paul McCartney played four Beatles songs for the first time ever on the 4th of May. If you could hear Paul play any song, which would it be?",positive
@Naked_InMy_Vans I'll be indy Sunday night of Zac Brown Band concert! But we need to plan a get together with everyone soon,positive
a pumpkin muffin from Dunkin will be the only way I make it through tomorrow without crying a lot,positive
Fudges fact and fancy with such confidence that we feel as if we 're seeing something purer than the real thing .,positive
"the table came very well packed, delivery was quick. the thickness really stands out for the price you pay. i had a similar table made with flimsy thin material and it is nothing compared to this table in quality. great buy.",neutral
"When the IRA bombed the Baltic Exchange, The Good Friday Agreement began. Let's not waste time. Let's give ISIS a caliphate...on Pluto. Now.",negative
"The word that comes to mind , while watching Eric Rohmer 's tribute to a courageous Scottish lady , is painterly .",positive
A sentimental hybrid that could benefit from the spice of specificity .,positive
"Chicago Live'69 may not be live, it sounds like studio demos.25 Or 6 To 4 is the best track, then I'm A Man starts the decline into over improvisation which concludes with a 16 minute Liberation.The band have made some fantastic jazz rock and ballards, but not on this CD.",negative
"Don't miss the Christmas #Soccer Cup!BST vs Nottingham University Medics Football Club!Friday 18/12 at 9pm, field Forza e Coraggio in Milan!",neutral
"If I can snap on them two summaries tomorrow like I just did this one..I'll be ""Gucci""",neutral
"The movie message was a good one. Story line was a little slow, actors were ok. Seems like it was edited and some parts of the story was left out, or time passed an an artificial rate or something.",neutral
"Stephen Hawking said ""This girl may like to know that in another possible universe, she and Zayn are happily married.""",positive
"It pulls the rug out from under you , just when you 're ready to hate one character , or really sympathize with another character , something happens to send you off in different direction .",neutral
"This is probably not the most exciting read, but I do need to read it for a Review that I have due. Really boring, but necessary and informative.",positive
"I am writing a review for a 990 Brushcutter not a 890.When I bought this big hunk of junk I thought I was getting a trimmer that would help me out in my yard. Unfortunately, I have only been able to use it a couple of times due to I dont know what or why but this beast does not like to start up and accelerate. If you are lucky enough to get it to start, as soon as you give it some throttle, it goes blahhhhhh....I have had a couple of people look at it whom I know to have lots of engine experience that have not been able to do much. Customer service is the pitts, and if you want something to cut some weeds down in your yard, dont buy a Ryobi. PURE GARBAGE !!",negative
"@LoyalLadySif it's queen. Nevertheless,Thor shook those feelings off as he and Sif approached their table and sat down",positive
@caroline_tg good to read results with no side effects showing-  see they are doing 3rd trial - any possibility to get Milan into it?,positive
"@macrocredit @Reagoikanya turns into Cupid in February, becomes the Easter Bunny and does short stints as Superman, Thor &amp; other characters",positive
"This is the same sentence of January events ( Attack of Charlie Hebdo ) :"" I'am Charlie/Je suis Charlie""  https://t.co/GLKbzcERez",neutral
"What a witty, well written page turner! I laughed from chapter one to the very last chapter's sentence. It's hilarious with the most unusual set of circumstances occuring throughout the story that keep you rivited to this book. Loved the plot and characters. Truly worthy of 4.5 stars!",positive
#AcehCenterID Iran placed 2nd in beach volleyball championships: Iran has finished as the r... https://t.co/9zmudrUBQw #YSEALIReusableBag,neutral
Collapse to a relatively small size for storage. Works great oneverything up a quart jar. Too bad my Vlasic Pickle jar doesn't fit. What a pickle.,positive
"A horrible , 99-minute stink bomb .",negative
"Why the author keep using the word ""Dumb Fox""? It's quite unnecessary. It ruins the whole structure of the book. She can easily say the smart girl. Yack ...",negative
"Unfunny comedy with a lot of static set ups , not much camera movement , and most of the scenes take place indoors in formal settings with motionless characters .",negative
"The story is predictable , the jokes are typical Sandler fare , and the romance with Ryder is puzzling .",negative
The Vamps are coming to Belgium again April 20th next year! They haven't announced it (yet) themselves but it's definitely confirmed!,positive
Star Wars was good outside of seeing so much of Rayjay's dick. I may have been watching Kim Kardashian's sex tape now that I think about it.,positive
"At its best when the guarded , resentful Betty and the manipulative yet needy Margot are front and center .",neutral
One lousy movie .,negative
Those of you who hang on my every word with regards musical recommendations may be interested to know that I like the new David Bowie track.,positive
"I generally default to buying gerbers because their warranty is awesome and they're usually built tough and solid. This one is no exception. I chose the folding option (vs flicking models) because I've had flicking ones get sand and crap in them that make them not come out as smoothly. The item is heavy and solid, and everything works exactly as you'd expect it to.The only reason I didn't give it 5 stars is that the phillips head screwdriver is a little flatter than I'd like to see. What I mean by that is it's more of a flathead with two very small bumps on either side of it. It works for sharp, fresh screws without any issue, but it would clearly be useless against any screw that has begun to strip.Other than that, I'm very happy with the product, and for the price I doubt you'll find a better multi-tool.",positive
It 's impossible to indulge the fanciful daydreams of Janice Beard ( Eileen Walsh ) when her real-life persona is so charmless and vacant .,negative
"This book has all that mysteries need: an intriguing story line, a hero that's credible, and a engaging adventure as the hero solves the mystery. I don't know anything about bugs, but Downs created that scientific world that's believable.",negative
@antanddec Your talking Kylie im a celeb iv just watched her on TFI Friday chris Evans channel 4 she's amazing a legandx,positive
"Abby's Lucky Thirteen is an okay book. It's about when Abby turns thirteen and in her religion's belief, turning into a young woman. Abby wants to show everyone that she can take responsibility. When a test comes up in school, Abby buys a study guide from a boy, which later on, she discovers is the cheating sheet with all the answers on it. Abby doesn't know what to do, so she copies off of it. But when five people get the exact same answer, the teacher wants an answer. Abby doesn't want to say anything and neither does anyone else. So the teacher suspends them from school! Abby doesn't want her family and friends to know that, so she lies to her friends and won't even tell her own mother! This birthday is turning into a disaster. Can she fix it? Join in, in this exciting book, and find out!",positive
"My favorite books about dystopia and fantasy are Harry Potter, Beautiful Creatures, Hunger Games, Twilight, Eragon, 5th Wave, Percy Jackson.",positive
"There 's no point of view , no contemporary interpretation of Joan 's prefeminist plight , so we 're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",negative
"Tried this about a week ago for the first time on a dingy bathtub. It worked OK on little rust stain around the bathtub fixtures but not perfectly. Seemed to do nothing for the overall grayness of the tub, though I used the whole tube in one swoop. (Ultimately, I solved the problem with some Zap! restorer/cleaner.) One plus to the product is that it seems nontoxic and relatively mild. May be a fine product for other uses, but for my needs, it was, overall, a waste of money.",negative
but I agree with other reviews - should be more reliable - seems very flimsy and will have a short lifespan.,positive
Curtis set for second game in charge: Caretaker boss Alan Curtis set for second game in charge of Swansea as the search for Garry Mon...,neutral
i looked like a little jacob from twilight in the 5th grade,positive
"Let me premise this review by stating that I love Leisa Hart and her DVDs. I am used to getting either a solid cardio workout or solid sculpting workout from her, but this DVD delivered neither. If you're looking for some sexy stripper moves, then this is a good one, but if you want a workout, then skip it.",negative
"I want to like Turf, but the food is just okay.  I've only been here twice, but it was not mind-blowing.

I'm not fond of the shepherd's pie here.  It is the most bland version I have had... even in this town.  

The wings, however, are pretty good.  I've eaten wings here with a couple Harps and have had a decent time.

Surprisingly good is their seared ahi tuna.  It is pretty weird to think an Irish pub would do this well, but they do.  A friend ordered it and after shaking my head and saying there's no way it could be good, I tried a bite and I had to eat crow.  

Turf is typically a stop on the pub crawl, so I will definitely be back again for boozing.",neutral
"@Logatron98 gucci, is the comp paper due tomorrow or not because we don't have class tomorrow",neutral
"..now disappeared, sun gone for the day. Twilight with soft skies to say goodbye to Friday.  We must all remember we are blessed. #GodsWorld",positive
"This movie was bad. The acting was horrible. Merecedes Rhuel who played Gia's mother was like a cartoon character. The only good performance was by the blonde girlfriend (Elizabeth Mitchell). The whole thing just reeked of a made-for-HBO movie.Fine for a late night hotel tv watch. Also, the Terrence Blanchard jazz soundtrack was pretty good. Otherwise, a PASS.",negative
"Fresh off a Republican debate heavily focused on national security concerns, Donald Trump on Wednesday slammed the Iran nuclear deal that",negative
CRM Suzanne stopping off @Ltlshopofcoffee with Briana spreading the news of our recruitment day 15 December https://t.co/EachzyO1y1,neutral
"What can I say, it's a crib dust ruffle. The color and quality were nice.",positive
#TGNArmy @tgnTV   @YT_Retweets @DarkSoulsGame   Dark Souls 3 New Trailer Embrace the Darkness 12 April 2016 https://t.co/O7EAAkb95j,neutral
"There's no ""meeting of minds"" when it comes to terror. As  Tony Blair once said: ""Defeat it or be defeated by them."" https://t.co/tmUUYLeGOv",negative
I am hearing a settlement may be in the works with Kane and alleged victim. He might be pulling a Kobe - WHICH MEANS HE IS GUILTY!!,negative
I got this as a gift for my friend. It shipped and was received sooner than I expected. She loves it. It was a great gift. I would totally recommend this.,positive
"The product is quite satisfactory. It is ""User Friendly"" which makes its navigation quite understandable. There are occasional errors probably produced by interpreting its internal navigational maps.I wish they would offer map updates. This product was bought about a month ago could use one.",positive
The fourth in a series that I 'll bet most parents had thought -- hoped !,neutral
I see Janet Jackson in concert this Friday. Most of you probably never heard of her. :-) #excited,positive
i literally just sat and talked to my mom about tronnor &amp; how much troye &amp; con &amp; Shawn are role models for me and showed her wild &amp; how +,positive
Here Comes the Sun - A Jornada Espiritual e Musical de George Harrison [AGENDA] https://t.co/3PKGkgIe2p,neutral
"Brush has no body to it, it is Not Stiff Enough. Went back to the local ACO and found they sell a really good foam brush made by Jen MFG (Made in USA)...just ordered these now.",negative
@MusicsRebellion Lotta problems with this list... only one I'll mention here is that GKMC is Kendrick's 2nd album,negative
I'm just ready for Thursday to see Tom Brady eat,positive
I hope someone blesses me with Justin Bieber tickets before March,positive
Such a fun party! Happy 17th birthday Briana! Everyone loved doing a paint party at the sleepover and the... https://t.co/XcCRIQRDs7,positive
"It's good to kno the NFL season starts Thursday, so we can hear about other teams other then Tom Brady an the Pats! #iDontCareIfTheyCheated",positive
"Yoga teachers... are you ready?? @TeenYogaUK Freshers... are you ready?? @TheSUatUWE #YogaGirlsCan lands tomorrow, join us for FREE Yoga!",positive
2nd letter from Paul to the destitute Christians in Corinth. What a letter of encouragement. https://t.co/EChEEp0NxY,neutral
Literally just sat in my car and listened to Justin bieber for 34 minutes  It was the best 34 minutes of my day,positive
"It 's a powerful though flawed movie , guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today .",positive
"Whether or not you agree with Iran's FM, it's a good piece of writing. Love ""petro-fuelled perversion of Islam"". https://t.co/VV6VyJz9Ey",neutral
"David Bowie: ""Blackstar"": There is a star in our universe called KIC 8462852 that may or may not be the hub of... https://t.co/GnvOXjrjxl",positive
The book is good but the sketches make identification very difficult for the layman. I should have gotten a book with photographs. The book is virtually useless to me.,neutral
